brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Anonymous Ism,3,NJ;PA,Maplewood;Philadelphia;Pittsburgh,In scope 2;Multigender 1,Anonymous Ism,City Workshop Men's Supply Co.;Totem Brand Co.;Vestis,yes,add,high on weird
Autumn Cashmere,3,PA,Pittsburgh;State College;Wayne,Multigender 2;In scope 1,AUTUMN CASHMERE;Autumn Cashmere,Boyds;Harpers;Moda,yes,add,
Blundstone,3,NJ;PA,Maplewood;Philadelphia;Wayne,Multigender 2;In scope 1,Blundstone,City Workshop Men's Supply Co.;Out There Outfitters;Totem Brand Co.,yes,save,shoes only
Bugatchi,3,PA,Allentown;Pittsburgh;State College,Multigender 2;In scope 1,Bugatchi,Harpers;Heinz Healey's;assembly88,yes,add,
Calvin Klein,3,PA,Greensburg;Johnstown;Pittsburgh,In scope 3,Calvin Klein,Heinz Healey's;Lapels;Millers of Johnstown,yes,add,
Corgi,3,NJ;PA,Far Hills;State College;Warrendale,Multigender 2;In scope 1,Corgi,Hans Clothier;Harpers;Oxford & Derby,yes,save,accessories (socks)
Corridor,3,NJ;PA,Asbury Park;Pittsburgh;Somerville,Multigender 2;In scope 1,Corridor,Evolve Clothing Gallery;New Hour Clothing;Vestis,yes,add,
David Donahue,3,PA,Newtown Square;Phoenixville;Wayne,In scope 3,DAVID DONAHUE;David Donahue,Boyds;Hassis Men's Shop;Weitzenkorn's,yes,add,check stockists
Dr. Martens,3,NJ;PA,Asbury Park;Philadelphia;Somerville,Multigender 1,Dr Martens;Dr. Martens;Dr.Martens,Evolve Clothing Gallery;New Hour Clothing;Totem Brand Co.,no,,3 spellings merged
Fair Harbor,3,NJ;PA,Allentown;Far Hills;West Chester,Multigender 2;In scope 1,Fair Harbor,Hans Clothier;Phineas Gage;assembly88,yes,add,department store only
Far Afield,3,NJ;PA,Maplewood;Pittsburgh;State College,In scope 2;Multigender 1,Far Afield,City Workshop Men's Supply Co.;Harpers;Vestis,yes,add,check stockists
