brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Maison Margiela,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rick Owens,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Yohji Yamamoto,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Comme des Garçons,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Junya Watanabe,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Sacai,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Casablanca,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Jacquemus,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Prada,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Loewe,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
JW Anderson,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Dior,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Amiri,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rhude,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Palm Angels,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Golden Goose,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Fear of God,SKIP,SKIP,NC,NC,NC,NC,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Bode,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Greg Lauren,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Visvim,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Tom Ford,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Zegna,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Bottega Veneta,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Charvet,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Husbands,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Brioni,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Isaia,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
The Row,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Lemaire,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Jil Sander,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Acne Studios,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Dries Van Noten,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Wales Bonner,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
JiyongKim,NC,NC,NC,NC,NC,NC,NC,NC,SKIP,SKIP,SKIP,SKIP,NC,NC,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Brunello Cucinelli,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Fedeli,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
The Elder Statesman,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Hermès,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Loro Piana,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rubinacci,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Kiton,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Cesare Attolini,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Zilli,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Stefano Ricci,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
